"Planet_key"	"p_name"	"Star_number"	"Mass"	"relative density"	"Radius (Earth)"	"type of terrain"	"Climate Type"
448	"Thoth's Nebula Pantheon"	3587	8.88	1.099	na	"valley:lava river:rocky desert"	"arid:frigid"
449	"Thoth's Nebula Herculean"	3587	9.58	0.926	2.18	"rocky canyon:forest:savanna"	"tropical:hot"
450	"Hamal XIII"	9717	5.25	1.08	1.69	"desert:ocean"	"superheated:artificial temperate:hot:humid"
451	"Hamal VI"	9717	1.84	1.573	1.05	"savanna:urban:rocky canyon:cliff"	"frigid:hot:artic:temperate:tropical:rocky:arid"
452	"Hamal IX"	9717	6.98	1.056	1.88	"verdant:city"	"superheated:rocky"
453	"Vortexion Liu"	9745	1.07	0.741	1.13	"desert"	"temperate:arid:artic:humid"
454	"Vortexion Wu"	9745	9.37	0.692	2.38	"vine:lakes:river:reef:hill"	"temperate:tropical:rocky:artic:hot"
455	"Vortexion San"	9745	1.07	0.926	1.05	"glacier:hill"	"frigid:artic"
456	"Vortexion Qi"	9745	na	1.099	1.81	"volcano:lava river"	"artificial temperate:temperate:arid"
457	"Vermilion Expanse X"	5779	7.02	1.134	1.84	"rock arche:rocky desert:canyons:verdant:toxic cloudsea:rocky canyon:ice canyon:reef:river"	"frozen:rocky:artificial temperate:frigid:tropical:humid"
458	"Talitha Nu"	2204	5.18	0.764	1.89	"ice cave"	"frigid:humid:tropical:artificial temperate:artic:windy"
459	"Talitha Gamma"	2204	3.13	1.191	1.38	"toxic cloudsea"	"frozen"
460	"Talitha Zeta"	2204	2.05	1.034	1.26	"glacier"	"temperate:frigid:arid:superheated"
461	"Astrophia Undecimal"	7117	0.85	0.872	0.99	"fungus forest:canyons:city:hill"	"frozen:superheated:artificial temperate:tropical"
462	"Astrophia Quintal"	7117	2.89	1.186	1.35	"city:reef:jungle:sea:mountain:river"	"superheated:hot:artic:temperate:arid:artificial temperate:humid"
463	"Alkes Mu"	4323	1.71	0.895	1.24	"mountain:grassy hill:hill:river:reef:cliff"	"subartic:tropical:arid:artificial temperate"
464	"Sargas Decimal"	208	0.59	1.026	0.83	"island"	"superheated:humid"
465	"Sargas Quintal"	208	6.73	0.848	1.99	"valley:volcano:desert:urban"	"superheated:frozen:tropical"
466	"Sargas Nonal"	208	0.89	0.631	1.12	"plain:volcano"	"frozen:temperate:arid:superheated:artic"
467	"Sargas Vigesimal"	208	0.76	0.614	1.07	"river:cityscape"	"subartic"
468	"Canopus Nonal"	518	0.63	1.033	0.85	"mountain"	"frigid:artic:hot:superheated"
469	"Ignifera Xi"	8320	2.49	1.067	na	"verdant:urban:glacier"	"windy:subartic:frozen"
470	"Ignifera Omega"	8320	0.71	0.814	0.96	"rocky desert"	"hot:frozen:tropical:artic:temperate:windy"
471	"Fulu Typhonian"	4331	4.14	0.672	1.83	"verdant:acid pool"	"arid:hot"
472	"Tianguan Cerberian"	6597	1.73	0.998	1.2	"river:vine"	"hot"
473	"Megrez Olympus"	9179	1.25	1.247	1	"ice canyon:field:river"	"tropical:artic"
474	"Cocibolca Zephyrian"	4233	1.66	0.671	1.35	"cityscape:rainforest:verdant:island:lava river"	"temperate:frozen:subartic:tropical:hot"
475	"Alruba Hermian"	3464	8.02	0.71	2.24	"plateau:toxic cloudsea:plain:lakes"	"superheated:frozen:artic:arid"
476	"Alruba Titanos"	3464	3.85	0.822	1.67	"rocky desert:lakes:grassy hill:urban:acid pool"	"windy:rocky:artificial temperate:artic:subartic:frigid"
477	"Alhena Nereidos"	1578	1.87	0.837	1.31	"rock arche:ice canyon"	"humid:arid:frigid:artificial temperate:subartic:frozen"
478	"Ukiyo's Resonance Secant"	9006	1.34	0.864	1.16	"rocky canyon:vine:valley:ice canyon:river:reef:island:acid pool"	"rocky:temperate:humid:frigid:frozen:hot"
479	"Solaris Shi"	2873	1.82	1.188	1.15	"tundra:forest"	"superheated:rocky:tropical:windy"
480	"Solaris Ba"	2873	2.23	0.708	1.47	"cave:desert:mountain:scrubland:plateau:jungle:rainforest:rocky desert"	"rocky:arid:windy:superheated:artic:hot"
481	"Astrylis III"	8639	2.11	1.367	1.16	"desert:ash"	"rocky:superheated:windy:tropical"
482	"Solarionara XVII"	8678	6.61	1.108	1.81	"verdant:sea"	"superheated:temperate:artificial temperate:hot:windy:arid:rocky"
483	"Solarionara III"	8678	4.87	0.885	1.77	"reef:mountain:ice canyon:rainforest"	"frozen:tropical:temperate:subartic"
484	"Sekai Ember XXIII"	7641	1.14	0.736	1.16	"rocky canyon"	"artificial temperate:frigid"
485	"Xamidimura Artemian"	9956	8.36	1.091	1.97	"hill"	"hot:subartic:frozen:artificial temperate:artic:temperate:windy"
486	"Abyssal Echoes Athenian"	6290	4.24	1.102	1.57	"jungle:verdant:forest:ice cave:desert"	"superheated:tropical:subartic:artificial temperate:hot:frigid"
487	"Abyssal Echoes Nymphios"	6290	6.61	1.376	1.69	"cliff:rock arche"	"rocky:windy:superheated"
488	"Alcor Hestian"	3503	1.64	1.252	1.09	"verdant:desert:rainforest:sea:jungle:lava river:cityscape"	"superheated:rocky:artic:tropical:artificial temperate"
489	"Darkonium Qi"	655	1.56	0.939	1.18	"verdant:lava river:river:city:glacier:urban:grassy hill"	"frigid:tropical:subartic:hot:rocky"
490	"Darkonium Jiu"	655	8.03	1.187	1.89	"desert:field:ash:hill:glacier"	"frozen:artificial temperate:hot:tropical:frigid"
491	"Ma'at's Cascade Lambda"	235	5.52	1.349	1.6	"verdant:valley:ice cave:urban:rocky canyon"	"rocky:artificial temperate:frozen:frigid"
492	"Solarflarex Psi"	729	5.74	0.783	1.94	"river:cave"	"frigid:hot:artificial temperate:temperate"
493	"Solarflarex Phi"	729	4.92	0.699	1.92	"ice cave:grassland:rocky canyon:glacier:forest"	"windy:temperate:frozen:tropical"
494	"Solarflarex Xi"	729	1.49	1.134	1.1	"plateau:canyons:grassy hill:fungus forest:scrubland:valley:reef:desert"	"superheated:subartic:frozen:artic:arid:hot"
495	"Solarflarex Omega"	729	0.72	1.089	0.87	"cityscape:hill:barren:ice canyon:tundra:acid pool:toxic cloudsea:desert"	"arid:humid:windy:artificial temperate:frozen:artic"
496	"Anadolu Pi"	9647	8.6	1.004	2.05	"urban:jungle:grassland:ash:rainforest:island:verdant:volcano:bog"	"tropical:frozen:humid:artic:superheated:rocky"
497	"Anadolu Rho"	9647	1.46	0.866	1.19	"desert:fungus forest:mountain:cliff:rocky canyon"	"frozen:hot:artificial temperate"
498	"Anadolu Omega"	9647	7.6	0.642	2.28	"hill"	"hot"
499	"Anadolu Eta"	9647	3.39	1.043	1.48	"ocean:rocky desert:city:urban:desert:island"	"tropical:rocky:arid:frozen:hot"
500	"Nebulith Omicron"	9193	2.34	0.51	na	"volcano:desert:rocky canyon:tundra:rainforest:vine:scrubland"	"arid:frozen:temperate:superheated:frigid:hot"
501	"Nebulith Psi"	9193	5.47	0.847	1.86	"ice canyon"	"artic:temperate:subartic:humid"
502	"Stellae Abyss Rho"	7332	4.54	1.267	1.53	"cityscape:ice cave:vine"	"temperate:artificial temperate:windy:superheated:humid:frigid:tropical"
503	"Stellae Abyss Upsilon"	7332	8.24	1.151	1.93	""	"windy"
504	"Stellae Abyss Sigma"	7332	3.51	0.796	1.64	"hill:forest:cliff"	"windy:tropical:superheated:subartic:rocky:humid"
505	"Stellae Abyss Psi"	7332	2.42	1.225	1.25	"plateau:ash"	"superheated:subartic:artificial temperate"
506	"Sabik Tritonian"	9417	1.92	1.019	1.24	"rainforest:bog:rocky island:lakes:urban:tundra:barren:mountain"	"artificial temperate:arid:artic:temperate:superheated"
507	"Sabik Poseidian"	9417	2.87	1.046	1.4	"river:reef:rocky canyon:cliff:cave:acid pool"	"subartic:superheated:arid:hot"
508	"Sabik Nemesisian"	9417	6.61	1.094	1.82	"ice canyon:river:hill:cityscape:desert"	"humid:frozen:arid:artificial temperate"
509	"Nebulaflux Hadean"	4251	2.4	1.203	1.26	"ice cave:ice canyon"	"windy:subartic:frigid"
510	"Nebulaflux Cerberian"	4251	6.39	1.156	1.77	"ice cave:glacier"	"tropical:frigid:windy"
511	"Nebulaflux Hestian"	4251	0.59	1.274	na	"valley"	"hot:artic:rocky:temperate"
512	"Merope Theta"	293	4.5	1.356	1.49	"savanna:cliff"	"windy:artic:arid:artificial temperate"
513	"Asterion Enigma Oranos"	7597	3.25	0.988	1.49	"canyons:cliff:rainforest"	"subartic:artificial temperate:tropical:frozen"
514	"Asterion Enigma Morphean"	7597	0.93	1.349	0.88	"bog:vine:tundra:plain"	"rocky:temperate:subartic:humid:frigid"
515	"Asterion Enigma Gaios"	7597	7.53	0.98	1.97	"verdant:plain:plateau:rainforest:valley:cave:fungus forest:lakes:jungle"	"artic:superheated:subartic:frigid:artificial temperate:tropical"
516	"Asterion Enigma Nereidos"	7597	3.18	0.631	na	"vine:acid pool:plateau"	"hot:artic:temperate"
517	"Nova Prism Er"	1931	4.88	1.045	1.67	"vine"	"windy:artificial temperate:tropical"
518	"Nova Prism Ba"	1931	2.63	0.845	1.46	"cityscape:grassy hill:plain:mountain:canyons"	"humid:artic:frozen:temperate"
519	"Galactic Prism Ba"	6565	6.03	0.866	1.91	"bog:barren:fungus forest:volcano:jungle:lakes"	"arid:frigid:humid:hot"
520	"Galactic Prism Yi"	6565	na	0.853	1.2	"toxic cloudsea:plateau:vine:sinkholes"	"artic:superheated:hot:subartic"
521	"Galactic Prism Si"	6565	1.67	1.195	1.12	"rocky island:cliff"	"frigid:arid:hot:superheated:rocky"
522	"Galactic Prism Er"	6565	2.69	0.749	1.53	"hill"	"superheated"
523	"Tsubasa Echoes Artemian"	9084	6.59	0.954	1.9	"field:cityscape:urban:vine:rocky desert"	"tropical:humid:frozen:arid:windy:artificial temperate:subartic"
524	"Kalausi Alpha"	8259	7.49	1.03	1.94	"canyons"	"superheated:temperate:frigid:windy"
525	"Helixar Helios"	3148	4.07	1.29	1.47	"rocky desert:cliff:vine:ocean:sea:glacier:forest"	"rocky:subartic:hot:artic:superheated:artificial temperate"
526	"Merak XXI"	7601	2.79	0.853	1.48	"rocky desert"	"rocky:arid:hot:frozen:windy:artificial temperate:frigid"
527	"Merak XIX"	7601	1.38	0.944	1.13	"desert:forest:sinkholes:ash:mountain"	"humid:frigid:rocky:superheated:arid:windy"
528	"Merak III"	7601	1.99	1.069	1.23	"sea:savanna:rocky island:verdant"	"frigid:humid:subartic:rocky:windy"
529	"Merak XV"	7601	6.99	0.813	2.05	"jungle:rocky canyon:rock arche"	"superheated:temperate"
530	"Sualocin Alpha"	5962	3.68	0.845	1.63	"fungus forest:lava river:rocky canyon"	"windy:frigid:superheated:temperate:tropical:rocky"
531	"Nocturnal Silence XVIII"	5280	2.35	1.057	1.3	"desert:river:forest:savanna:cityscape"	"temperate:superheated:rocky:artificial temperate:frigid"
532	"Nocturnal Silence III"	5280	5.43	0.874	1.84	"plain:jungle:bog"	"temperate:superheated:artic:arid:tropical:subartic"
533	"Nocturnal Silence XXII"	5280	2.11	1.355	1.16	"mountain:reef"	"humid:windy:frozen:temperate"
534	"Sakuya Nebula Tau"	4693	5.7	0.596	2.12	"cave"	"tropical:temperate:superheated"
535	"Azha Poseidian"	5591	0.85	1.278	0.87	"canyons:tundra:cliff:plain:rocky island"	"superheated:arid:rocky:artificial temperate"
536	"Azha Astraeos"	5591	4.5	0.538	2.03	"rocky canyon:savanna:grassy hill"	"rocky:artificial temperate"
537	"Azha Titanos"	5591	2.6	1.112	1.33	"canyons"	"rocky:windy:superheated:temperate"
538	"Ayeyarwady Sextant"	8770	2.4	1.369	na	"jungle:toxic cloudsea:jungle:lakes:reef"	"windy:tropical:frozen:superheated:humid"
539	"Ayeyarwady Prime"	8770	1.44	0.906	1.17	"volcano:cliff:desert:cave"	"hot:tropical:rocky:humid"
540	"Nebulosys Pi"	8635	1.46	1.119	1.09	"jungle"	"frozen:hot:superheated"
541	"Algenib XXIII"	4474	9.88	0.906	2.22	"island:cliff:canyons:urban:hill"	"humid:temperate:artificial temperate"
542	"Algenib XV"	4474	0.59	0.849	0.89	"plateau:tundra:scrubland:urban:cave:grassy hill:cliff"	"superheated:subartic:frozen:arid:artificial temperate:rocky:windy"
543	"Ebon Depths Rho"	2114	7.91	1.233	1.86	"plain:desert:volcano"	"temperate:superheated:windy:frigid"
544	"Ebon Depths Tau"	2114	0.87	0.961	na	"field:river"	"frigid:artificial temperate"
545	"Galaxaraith Qi"	3767	3.86	0.902	na	"urban:scrubland:rock arche:reef"	"arid:hot:rocky"
546	"Lunacara Upsilon"	4391	2.29	0.864	1.38	"river:tundra:savanna"	"windy:artic:tropical"
547	"Lunacara Theta"	4391	1.14	0.928	na	"cityscape:urban"	"tropical:arid"
548	"Cimmerian Veil XVIII"	2012	3.06	0.757	1.59	"lakes:rocky desert:grassland"	"hot:artic:humid:arid:frigid:windy:rocky"
549	"Peacock Artemian"	1836	2.04	1.321	1.16	"island:fungus forest"	"artic:windy:humid:subartic"
550	"Shizuku Seraph Chi"	8869	1.55	1.265	1.07	"glacier:barren:sea:rock arche:sinkholes"	"frozen:arid:hot"
551	"Orion's Haven Selenean"	2396	0.5	1.035	0.78	"sea:fungus forest:ice canyon"	"frozen:humid"
552	"Hoggar Pantheon"	9767	3.54	0.612	1.8	"desert"	"tropical:subartic:artic:superheated"
553	"Hoggar Aphroditos"	9767	2.74	1.018	1.39	"verdant:plain:sea"	"humid:subartic:frozen"
554	"Cursa Sigma"	7423	7.83	0.925	2.04	"swamp:field"	"frigid:subartic:superheated:tropical"
555	"Cursa Zeta"	7423	1.15	0.9	1.09	"ash"	"frozen:rocky:temperate:frigid:superheated:artificial temperate:windy"
556	"Salm Yi"	3106	5.64	1.512	1.55	"hill:cliff:island:sinkholes:tundra:urban:ash:city"	"artificial temperate:rocky:subartic:hot:humid"
557	"Salm Si"	3106	2.41	1.02	1.33	"savanna"	"superheated:frozen:arid"
558	"Salm Jiu"	3106	7.73	1.363	1.78	"swamp"	"rocky:frozen:humid:subartic:windy:superheated"
559	"Salm Er"	3106	5.28	0.934	1.78	"verdant:mountain:swamp:ash:volcano:sea:canyons:toxic cloudsea:cave"	"tropical:windy:frozen:hot:frigid:artificial temperate:humid"
560	"Amun-Ra Mirage XX"	8160	1.9	0.803	1.33	"ocean:cliff"	"frigid:windy"
561	"Amun-Ra Mirage XVII"	8160	6.97	0.813	2.05	"verdant:river"	"artic:subartic"
562	"Chertan Kappa"	4978	1.44	1.313	1.03	"urban:island"	"superheated:temperate"
563	"Uruk III"	5767	1.23	1.17	1.02	"reef:rocky desert:island"	"humid:tropical"
564	"Uruk XIV"	5767	2.9	1.226	1.33	"lava river:glacier:urban:field"	"rocky:superheated:subartic:tropical"
565	"Ronin's Veil Tertial"	1061	3.11	0.997	1.46	"desert:grassland:ash:ice cave:mountain:savanna"	"frigid:hot:superheated:temperate"
566	"Ronin's Veil Quartal"	1061	1.15	1.002	1.05	"cityscape:jungle:savanna:city:glacier:lava river:cliff:island"	"temperate:subartic:hot:artificial temperate:arid:tropical"
567	"Ronin's Veil Octal"	1061	2.61	1.492	1.2	"lakes"	"tropical:hot"
568	"Adhara Centaurios"	6105	3.48	1.028	1.5	"ash:river:glacier:lakes:desert:rocky island:city"	"hot:subartic:humid:frigid:tropical"
569	"Acrab Zeta"	8062	2.84	0.511	1.77	"cave:verdant"	"hot:artic:superheated:tropical:frozen"
570	"Phoenicia Titanos"	4441	0.55	1.068	0.8	"jungle"	"hot:rocky:frigid:arid:artic"
571	"Axeheart Sextant"	9871	1.59	0.675	1.33	"island:lakes"	"temperate:subartic"
572	"Axeheart Secant"	9871	1.08	0.689	1.16	"rainforest:ash:island"	"windy:superheated:artic:frigid:arid"
573	"Axeheart Vigesimal"	9871	1.81	0.511	1.52	"ash"	"artificial temperate:hot:rocky:tropical:windy"
574	"Stellarastra III"	2954	3.47	1.111	1.46	"rocky canyon"	"superheated:artic:tropical:windy"
575	"Amaterasu Upsilon"	5320	1.88	0.771	1.35	"lava river:plateau:vine"	"hot:subartic:tropical"
576	"Amaterasu Theta"	5320	3.34	0.874	1.56	"jungle:sea:plain:canyons:rocky island:island:hill"	"frigid:windy:superheated:frozen:artic:arid:temperate"
577	"Diya Persephonian"	8673	1.69	1.027	1.18	"rainforest:desert:savanna"	"superheated:tropical:arid:artic"
578	"Diya Olympios"	8673	1.75	1.129	1.16	"grassy hill:sinkholes:jungle:mountain:tundra:bog"	"hot:artificial temperate:arid:temperate:frigid"
579	"Ruchbah Prime"	853	8.61	1.097	1.99	"plain:cave:ice canyon"	"hot:subartic:temperate"
580	"Quasarionyx Psi"	3199	1.95	0.931	1.28	"jungle:glacier:rocky island:island"	"windy:superheated:frigid:tropical:humid:artificial temperate"
581	"Quasarionyx Omicron"	3199	5.57	0.857	1.87	"plateau:river"	"subartic"
582	"Segin XVII"	921	5.95	1.227	1.69	"city"	"subartic:frozen:tropical:windy:hot"
583	"Segin V"	921	5.27	0.82	1.86	"plain:forest:reef:field:plateau"	"artificial temperate:arid:rocky:frozen"
584	"Segin XVI"	921	4.73	0.836	1.78	"river:sea"	"tropical"
585	"Sirius Chi"	2557	4.37	1.248	1.52	"savanna:cave:hill:cityscape"	"superheated:temperate:rocky:hot:frozen"
586	"Syrma Ba"	5790	1.04	1.277	0.93	"valley:forest:barren:desert:island"	"arid:artic:humid:windy"
587	"Syrma Shi"	5790	1.36	0.696	1.25	"cliff:ice canyon:cityscape"	"subartic:artic:frozen"
588	"Scarab Expanse Zephyrian"	7824	2.08	1.27	1.18	"plain:cityscape:desert"	"windy:rocky:arid:frigid:superheated"
589	"Ryusei Sextant"	2085	0.54	1.051	0.8	"city:valley"	"arid:artificial temperate:frozen"
590	"Ryusei Quartal"	2085	3.12	0.93	1.5	"river"	"windy:artic:superheated:tropical:hot"
591	"Ryusei Tertial"	2085	1.61	0.797	1.26	"bog:cliff:desert:field:grassy hill:acid pool"	"frozen:temperate:hot:subartic:humid:frigid"
592	"Nova Cascade Jiu"	2285	8.4	1.358	1.84	"river:bog"	"windy:hot:temperate"
593	"Nova Cascade Ba"	2285	1.53	1.059	1.13	"cliff:rock arche:desert:lakes"	"windy:hot:superheated:frozen:frigid"
594	"Nova Cascade San"	2285	6.95	0.812	2.05	"ocean:sea:cityscape:ash:rainforest"	"artificial temperate:superheated:rocky"
595	"Cryptic Nebula Nonal"	9998	3.67	1.298	1.41	"lava river:cityscape"	"temperate:arid:artic"
596	"Thunderpeak Ba"	8652	5.98	0.991	1.82	"ice cave"	"frigid:windy:artic"
597	"Thunderpeak Si"	8652	0.85	1.021	0.94	"savanna:glacier:jungle:rock arche:city"	"humid:hot:frigid"
598	"Alpherg Olympios"	2818	1.74	1.037	1.19	"ice cave:volcano:rocky desert:reef:rocky island:lava river"	"artificial temperate:frozen:rocky:subartic:superheated:artic"
599	"Kang Theta"	8210	5.11	0.604	2.04	"sea:ocean:plateau:reef:lakes"	"superheated:tropical:rocky:frigid:hot:humid:artificial temperate"
600	"Tabit Tau"	8033	4.14	1.259	1.49	"ash:verdant:rocky canyon:island"	"hot:artificial temperate:rocky"
601	"Amansinaya IX"	7533	1.71	0.452	1.56	"tundra:sea:glacier"	"tropical:superheated:artificial temperate:temperate:artic"
602	"Alsciaukat Sigma"	7943	1.09	0.559	1.25	"rocky island"	"rocky:frozen:windy:superheated:frigid:subartic:artificial temperate"
603	"Alsciaukat Tau"	7943	3.33	1.244	1.39	"cliff"	"subartic:artificial temperate:temperate:tropical:artic:arid"
604	"Zhang Artemian"	2789	1.43	1.077	1.1	"rainforest"	"frigid:windy:humid:tropical"
605	"Zhang Gaios"	2789	7.38	0.751	2.14	"mountain"	"rocky:windy:frozen:frigid"
606	"Zhang Morphean"	2789	4.51	0.903	na	"grassland:vine"	"artificial temperate:temperate"
607	"Isis' Celestial Er"	6232	0.78	0.881	0.96	"savanna"	"arid:windy:artic"
608	"Isis' Celestial Liu"	6232	4.77	1.372	1.51	"sea:rock arche:desert:verdant:canyons:city:ocean"	"tropical:subartic:superheated:artificial temperate:frozen"
609	"Isis' Labyrinth Undecimal"	529	1.34	1.064	1.08	"fungus forest:rock arche:rocky canyon:city"	"humid:tropical:temperate:hot:subartic"
610	"Isis' Labyrinth Vigesimal"	529	na	1.271	1.22	"river:verdant:hill"	"hot:artic"
611	"Isis' Labyrinth Prime"	529	1.68	1.357	1.07	"city:island:valley"	"frigid:subartic"
612	"Isis' Labyrinth Duodecimal"	529	2.05	1.432	1.13	"ash:cityscape:sea:scrubland:jungle:rainforest:vine"	"temperate:frigid:arid:hot:superheated"
613	"Stormweaver Quintal"	9963	1.92	1.163	1.18	"plateau:ice canyon:fungus forest:field:tundra:cave"	"rocky:tropical:subartic:hot:superheated"
614	"Sorairo Mirage Yi"	1974	1.92	0.845	1.31	"ice cave:vine:acid pool:city"	"temperate:artic:hot"
615	"Sorairo Mirage Liu"	1974	1.59	1.337	1.06	"reef:desert"	"artic:humid:arid"
616	"Azmidi Er"	1848	2.31	0.719	1.48	"lakes:cave:reef"	"hot:artificial temperate"
617	"Azmidi Si"	1848	1.86	1.015	1.22	"toxic cloudsea:ice canyon:island:glacier:swamp"	"temperate:rocky:windy:artic:humid"
618	"Azmidi Yi"	1848	4.16	0.995	1.61	"vine:canyons"	"windy:superheated:temperate:frigid:hot"
619	"Galaxix Zephyrian"	9083	1.38	0.502	1.4	"grassland:glacier:swamp:fungus forest:jungle:rocky desert:mountain"	"superheated:hot:humid:frozen:windy:subartic"
620	"Nocturnal Labyrinth IV"	7573	1.61	0.917	1.21	"river:grassland:sea:valley"	"subartic:artic:superheated:humid"
621	"Almach Liu"	8634	na	0.785	1.77	"rocky island:rocky desert:reef:cave"	"humid:subartic:artic"
622	"Almach Ba"	8634	8.56	0.715	2.29	"reef:ocean:valley:cityscape:lakes"	"hot:artificial temperate:frozen"
623	"Almach Er"	8634	1.96	1.417	1.11	"grassland:forest:rocky island:ice canyon"	"temperate:artic:windy:frozen"
624	"Yildun Vigesimal"	2283	4.6	0.845	1.76	"toxic cloudsea:rainforest:acid pool:canyons:forest:ice cave"	"superheated:humid:artic:frozen"
625	"Yildun Septimal"	2283	2.48	0.736	1.5	"jungle:verdant:sea"	"artificial temperate:temperate:tropical:frigid"
626	"Yildun Octal"	2283	8.3	1.224	1.89	"urban"	"artic:frozen:humid"
627	"Infinite Iris Atlasios"	7733	9.27	0.942	2.14	"rocky canyon:lava river"	"windy:temperate:superheated"
628	"Infinite Iris Nyxios"	7733	0.66	1.379	0.78	"city:rocky island:grassy hill:desert:mountain:ocean:acid pool:vine"	"frigid:humid:tropical:superheated:temperate:frozen:rocky"
629	"Infinite Iris Poseidian"	7733	0.58	0.862	na	"forest:rocky desert"	"windy:hot:arid:rocky:temperate"
630	"Sora Poseidian"	4161	6.6	0.776	2.04	"lava river:verdant:sea:plain"	"arid:humid:windy:subartic"
631	"Nile Celestial Tritonian"	6715	2.2	0.673	1.48	"sea:urban:verdant:tundra:valley:vine:rock arche:ice cave:hill:field"	"hot:humid:temperate:frozen:subartic:frigid:rocky"
632	"Bonsai Silence Ba"	591	2.06	0.975	1.28	"reef:ice cave:valley:mountain"	"hot:subartic:tropical:artic"
633	"Ignitara Poseidian"	3653	na	0.684	1.52	"rocky desert:reef:plain:city"	"humid:artic:rocky:frigid:artificial temperate"
634	"Lusitânia Si"	5447	3.58	1.427	1.36	"cave:ocean:field"	"subartic:humid:artificial temperate"
635	"Lusitânia Shi"	5447	5.87	1.024	1.79	"savanna:sinkholes:tundra:mountain:rocky island"	"superheated:rocky:hot:windy:tropical:artic"
636	"Albali Nu"	1594	0.86	0.953	0.97	"city:ash"	"hot:subartic:frozen"
637	"Albali Pi"	1594	2.02	0.869	1.32	"canyons:lakes:volcano:ash:rocky canyon"	"arid:rocky:tropical:hot"
638	"Albali Rho"	1594	1.71	1.159	1.14	"rocky desert:volcano"	"superheated:artificial temperate:artic:subartic:frigid"
639	"Albali Psi"	1594	6.28	0.889	1.92	"hill:cliff:ice cave"	"artificial temperate:frigid:windy:superheated:subartic"
640	"Pulsar Radiance Shi"	3364	na	0.748	1.24	"verdant"	"superheated"
641	"Pulsar Radiance San"	3364	na	0.59	1.34	"valley:rocky desert:river:plain:rock arche"	"windy:subartic:frozen:artic"
642	"Pulsar Radiance Yi"	3364	4.06	1.202	1.5	"cliff"	"windy:frozen:temperate:rocky"
643	"Pulsar Radiance Si"	3364	5.59	0.763	1.94	"mountain:island:ice cave:rock arche:rocky desert:savanna"	"arid:frigid:humid:superheated:hot"
644	"Taiyangshou Psychean"	5619	0.65	0.993	0.87	"plain:cityscape"	"superheated"
645	"Ainalrami Faunios"	2344	0.9	0.919	0.99	"lakes:lava river:river"	"frozen:humid:hot:arid:temperate:frigid:artificial temperate"
646	"Ainalrami Hestian"	2344	5.07	1.097	1.67	"ice cave:cityscape:barren"	"humid:artic:superheated:arid:hot"
647	"Ainalrami Demetrian"	2344	3.24	1.13	1.42	"ash:rainforest:island:forest:grassland:grassy hill:bog"	"artificial temperate:tropical:rocky:hot:windy:humid:temperate"
648	"Ainalrami Selenean"	2344	2.47	0.954	1.37	"river"	"superheated:artic:frigid"
649	"Diphda Gamma"	5477	0.93	0.773	1.06	"rocky island:vine:river:field:rock arche:jungle"	"subartic:rocky:frigid:tropical"
650	"Diphda Omicron"	5477	1.63	1.108	1.14	"island:rocky desert:rocky canyon:bog:lava river:rock arche"	"humid:artic:temperate:arid"
651	"Diphda Pi"	5477	1.42	1.48	0.99	"rocky canyon:city:cave:hill:lava river:rocky island"	"humid:arid:subartic:superheated:frozen:windy"
652	"Diphda Eta"	5477	3.24	1.075	1.44	"sea:rocky desert"	"windy:arid:tropical:hot"
653	"Solstara Yi"	5227	6.2	1.004	1.83	"tundra:plain"	"humid:frozen"
654	"Fang Nemesisian"	8335	1.67	1.05	1.17	"rock arche:mountain"	"frigid:tropical:humid:windy:artic:rocky"
655	"Alniyat Irisian"	4924	2.86	1.283	1.31	"plain:vine:grassy hill:canyons"	"artificial temperate:frozen:rocky"
656	"Alphecca Artemian"	2659	7.36	0.931	1.99	"city:plateau:river"	"frigid:subartic:temperate"
657	"Alphecca Persephonian"	2659	7.13	1.264	1.78	"plateau"	"frigid:superheated:humid:artificial temperate:temperate"
658	"Alphecca Herculean"	2659	8.25	0.966	2.04	"valley"	"artic"
659	"Alphecca Tritonian"	2659	1.2	0.753	1.17	"rocky island:mountain"	"subartic:artificial temperate"
660	"Spectronix Kappa"	7854	na	1.136	1.18	"toxic cloudsea:cliff"	"artic"
661	"Spectronix Mu"	7854	6.74	1.428	1.68	"forest:mountain"	"tropical"
662	"Caph Tau"	5659	1.49	0.77	1.25	"glacier"	"frigid:artificial temperate:subartic:artic"
663	"Horus' Gaze Pegasusian"	6095	9.12	1.647	1.77	"barren:ocean:valley:vine:grassland:savanna:glacier"	"frozen:humid:frigid:superheated:arid:temperate"
664	"Icewind Hermian"	6021	0.56	1.146	na	"city:mountain"	"artificial temperate:humid:superheated:artic:frozen"
665	"Zenithrax Nemesisian"	1083	8.53	1.138	1.96	"plain:cave:verdant"	"artic:frigid:humid:artificial temperate:windy"
666	"Stormcaller Zephyrian"	3817	1.23	0.95	1.09	"vine:hill:plateau"	"temperate:frozen:artificial temperate:subartic"
667	"Eclipsara Pegasusian"	188	0.89	0.715	1.08	"mountain:tundra:barren"	"windy:arid:tropical:rocky"
668	"Eagleeye XXIII"	2199	2.94	0.899	1.48	"ice canyon:tundra:plateau:field"	"artificial temperate:temperate:frozen"
669	"Eagleeye X"	2199	7.45	0.856	2.06	"plain:jungle:savanna"	"tropical:arid:artic"
